901 0.900000
0.078000 276.106195 937.999899
0.079000 279.646018 1012.016183
0.080000 283.185841 1091.108948
0.081000 286.725664 1175.559921
0.082000 290.265487 1265.661059
0.083000 293.805310 1361.714493
0.084000 297.345133 1464.032423
0.085000 300.884956 1572.936984
0.086000 304.424779 1688.760051
0.087000 307.964602 1811.843005
0.088000 311.504425 1942.536440
0.089000 315.044248 2081.199816
0.090000 318.584071 2228.201064
0.091000 322.123894 2383.916116
0.092000 325.663717 2548.728385
0.093000 329.203540 2723.028179
0.094000 332.743363 2907.212046
0.095000 336.283186 3101.682053
0.096000 339.823009 3306.844999
0.097000 343.362832 3523.111550
0.098000 346.902655 3750.895315
0.099000 350.442478 3990.611839
0.100000 353.982301 4242.677527
0.101000 357.522124 4507.508502
0.102000 361.061947 4785.519379
0.103000 364.601770 5077.121983
0.104000 368.141593 5382.723981
0.105000 371.681416 5702.727460
0.106000 375.221239 6037.527430
0.107000 378.761062 6387.510263
0.108000 382.300885 6753.052077
0.109000 385.840708 7134.517057
0.110000 389.380531 7532.255726
0.111000 392.920354 7946.603163
0.112000 396.460177 8377.877177
0.113000 400.000000 8826.376449
0.114000 403.539823 9292.378632
0.115000 407.079646 9776.138427
0.116000 410.619469 10277.885644
0.117000 414.159292 10797.823243
0.118000 417.699115 11336.125375
0.119000 421.238938 11892.935427
0.120000 424.778761 12468.364075
0.121000 428.318584 13062.487362
0.122000 431.858407 13675.344805
0.123000 435.398230 14306.937539
0.124000 438.938053 14957.226519
0.125000 442.477876 15626.130769
0.126000 446.017699 16313.525716
0.127000 449.557522 17019.241590
0.128000 453.097345 17743.061928
0.129000 456.637168 18484.722169
0.130000 460.176991 19243.908368
0.131000 463.716814 20020.256024
0.132000 467.256637 20813.349052
0.133000 470.796460 21622.718886
0.134000 474.336283 22447.843737
0.135000 477.876106 23288.148014
0.136000 481.415929 24143.001912
0.137000 484.955752 25011.721181
0.138000 488.495575 25893.567071
0.139000 492.035398 26787.746484
0.140000 495.575221 27693.412312
0.141000 499.115044 28609.663982
0.142000 502.654867 29535.548218
0.143000 506.194690 30470.060002
0.144000 509.734513 31423.825818
0.145000 513.274336 32430.726123
0.146000 516.814159 33400.768359
0.147000 520.353982 34334.829488
0.148000 523.893805 35233.768430
0.149000 527.433628 36098.426407
0.150000 530.973451 36929.627286
0.151000 534.513274 37728.177910
0.152000 538.053097 38494.868422
0.153000 541.592920 39230.472589
0.154000 545.132743 39935.748113
0.155000 548.672566 40611.436945
0.156000 552.212389 41258.265582
0.157000 555.752212 41876.945371
0.158000 559.292035 42468.172794
0.159000 562.831858 43032.629763
0.160000 566.371681 43570.983893
0.161000 569.911504 44083.888785
0.162000 573.451327 44571.984294
0.163000 576.991150 45035.896794
0.164000 580.530973 45476.239442
0.165000 584.070796 45893.612435
0.166000 587.610619 46288.603258
0.167000 591.150442 46661.786933
0.168000 594.690265 47013.726262
0.169000 598.230088 47344.972065
0.170000 601.769912 47656.063412
0.171000 605.309735 47947.527854
0.172000 608.849558 48219.881647
0.173000 612.389381 48473.629973
0.174000 615.929204 48709.267156
0.175000 619.469027 48927.276877
0.176000 623.008850 49128.132379
0.177000 626.548673 49312.296675
0.178000 630.088496 49480.222748
0.179000 633.628319 49632.353748
0.180000 637.168142 49769.123187
0.181000 640.707965 49890.955124
