PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
63,160.05096641,175.88126937,0.0,-0.12767511796827244,0.7124925291252892,-0.03971018584149564
64,160.51499493,173.68905989,0.0,-0.16419981975178544,0.7342187024604317,-0.044251332164897406
65,161.06022251,171.51600687,0.0,-0.19117070054914764,0.7476585180616834,-0.04564141870423937
66,161.67050533,169.36052386,0.0,-0.2165860328783703,0.7586391891524231,-0.049471228589978634
67,162.33772061,167.22142673,0.0,-0.23186101682381066,0.7646694817484482,-0.055844142573694834
68,163.0392108,165.09327815,0.0,-0.25144187448102423,0.7713465425808906,-0.06092083280886532
69,163.77275023,162.97603429,0.0,-0.2614262888669122,0.7742995519486381,-0.06078870053228568
70,164.52732369,160.86617451,0.0,-0.268778366177359,0.7763803042687004,-0.06254987554102681
71,165.29784054,158.7620348,0.0,-0.27225813437141827,0.7774078143713847,-0.06651808715507601
72,166.07407334,156.65999591,0.0,-0.2754616002973487,0.7783163084858407,-0.07021686959385265
73,166.85402456,154.55933496,0.0,-0.27638142800979293,0.7785809006126811,-0.07241327015698656
74,167.63514128,152.45910603,0.0,-0.269176751115695,0.7767291313306156,-0.07740746440221287
75,168.39039828,150.35105272,0.0,-0.19628748671543997,0.7466411058729961,-0.10950867003417458
76,168.9057085,148.17032801,0.0,-0.09570457479425214,0.6755119961442902,-0.16762826485182983
77,169.05341563,145.94326133,0.0,-0.03647676302879896,0.6249678375143572,-0.1759102929180831
78,169.09545381,143.70287349,0.0,-0.024240286017323226,0.6202074985773057,-0.13488440289050113
79,169.16788537,141.4651441,0.0,-0.09872729252499357,0.6805341260497847,-0.04020294914948183
80,169.51543697,139.25147909,0.0,-0.23955088076368614,0.743498071605453,0.03541887614273692
81,170.29819647,137.16535666,0.0,-0.44022146145041163,0.7711048738308101,0.0225388078694934
82,171.54207359,135.36182442,0.0,-0.6460806084080576,0.7148840336111563,-0.0485289350298018
83,173.22803083,133.88754855,0.0,-0.730105858646252,0.6650112117690697,-0.09259677483258205
84,175.03082447,132.55674429,0.0,-0.7572049520327241,0.6380488194713002,-0.11754002897610795
85,176.85667827,131.25791553,0.0,-0.7657405740975726,0.6276911501190326,-0.12593303257964514
86,178.72186007,130.01782819,0.0,-0.7805380363894762,0.6077431852955332,-0.14212987262587742
87,180.63349641,128.84927323,0.0,-0.7952694401977262,0.5844152356901674,-0.15975531511049626
88,182.59415536,127.76441317,0.0,-0.8106655170033923,0.5544589819131646,-0.18200074168587924
89,184.59831395,126.7634574,0.0,-0.8213217411521784,0.5258743853944862,-0.2039051851560543
90,186.65874866,125.89225857,0.0,-0.8306055599009646,0.48773345815329994,-0.2333392399203744
91,188.78008215,125.1722252,0.0,-0.8351365962873457,0.4504786417038475,-0.2604752972065993
92,190.94588248,124.59740885,0.0,-0.8347471738726618,0.40845373845977306,-0.2910226560455131
93,193.14020885,124.14922201,0.0,-0.8294645950174705,0.37850445995450865,-0.3144995129001493
94,195.35646431,123.8397614,0.0,-0.8179976839311017,0.3441060274473337,-0.34351428456869876
95,197.59092335,123.68156233,0.0,-0.8018822549222002,0.3143935172367984,-0.37085994381553045
96,199.83157895,123.70538199,0.0,-0.7848442676508925,0.28079227050978484,-0.39405140949661605
97,202.06832316,123.82746227,0.0,-0.7691040055017501,0.25846592095645077,-0.4111137126148168
98,204.29820274,124.03787922,0.0,-0.7542636201188649,0.24528995729251857,-0.4254393754838485
99,206.51876115,124.33647933,0.0,-0.7383189984035671,0.22935575798429217,-0.4384389183953153
100,208.72166142,124.74676617,0.0,-0.7221437295540986,0.21013348180496724,-0.4496655166136545
101,210.91890523,125.1859888,0.0,-0.7153690491531174,0.20266050239947572,-0.45379436075555835
102,213.11131261,125.64878095,0.0,-0.7103560200986658,0.1986321100663956,-0.45701508526633017
103,215.2995778,126.13106343,0.0,-0.7096139858334135,0.19432065793201989,-0.45651302712758124
104,217.48950446,126.60574871,0.0,-0.7107089749685884,0.1910302058312671,-0.4547337561023747
105,219.68370937,127.06006514,0.0,-0.7142307783333698,0.19258660812293713,-0.4521875363379447
106,221.88196541,127.49425771,0.0,-0.7193842630789247,0.1931859628764346,-0.44790609238538304
107,224.08475046,127.90474842,0.0,-0.7296519605505316,0.19552098658963799,-0.4391975652807836
108,226.30151917,128.23192016,0.0,-0.7407319858726499,0.20389868172068282,-0.43098640147573763
109,228.52296431,128.52482005,0.0,-0.7476445162507885,0.2092368432785525,-0.42544989546815376
110,230.74843854,128.78517781,0.0,-0.7540341537024728,0.21254180897641003,-0.4196617464746784
111,232.97769873,129.01169606,0.0,-0.7646007788153475,0.21744071042147092,-0.40929549324865827
112,235.21360745,129.15940206,0.0,-0.7721370811653343,0.22220992021753427,-0.40191883383242066
113,237.45059066,129.28928135,0.0,-0.7749075656633714,0.2230582280010661,-0.3988612705197445
114,239.68849596,129.40212282,0.0,-0.7776603283737424,0.22434425489290144,-0.39586418419994346
115,241.92721877,129.49816206,0.0,-0.780453208353708,0.22359756100237108,-0.3923000725761931
116,244.16635828,129.58394746,0.0,-0.7799795290973907,0.2185112481335746,-0.39170619790375644
117,246.40512875,129.67867438,0.0,-0.7779887936756866,0.21295490134239378,-0.3927627029132772
118,248.64350322,129.78232005,0.0,-0.7756325790075657,0.2094952223611255,-0.3947109864929719
119,250.88144723,129.89506533,0.0,-0.7709291992029144,0.20495075623205183,-0.3989626768684933
120,253.11629425,130.05803643,0.0,-0.7639736579788824,0.19587226245766165,-0.4044066697553643
121,255.34971124,130.23910285,0.0,-0.7602541103045652,0.19266947884257238,-0.4075896137086244
122,257.58159226,130.43822185,0.0,-0.7560273508812703,0.1916145317339403,-0.4118708644856639
123,259.81178057,130.65585687,0.0,-0.7500916781350698,0.1948991313563171,-0.41904729495001
124,262.03852555,130.90624154,0.0,-0.6813555900981877,0.1545240593222194,-0.452029180004809
125,264.05130706,131.7661835,0.0,-0.4863240116383825,0.12152407343886866,-0.5308522827082459
126,265.65068375,133.26060114,0.0,-0.3594630706358763,0.24575689835545966,-0.5701206865911651
127,266.85565876,135.14956273,0.0,-0.31560311564499166,0.2807956211475407,-0.5709833899690843
128,267.97882832,137.08853024,0.0,-0.25924127016789833,0.285479161840221,-0.5592501919511795
129,269.00868834,139.07771983,0.0,-0.225430701450698,0.2993001636853703,-0.548201949907098
130,269.95356642,141.1082981,0.0,-0.19646687214593117,0.32087053912963953,-0.5359730221734845
131,270.80619322,143.17973542,0.0,-0.1714080788097727,0.35237670843656516,-0.5202797659087165
132,271.47942123,145.31699276,0.0,-0.1439122600524022,0.40689535744921335,-0.49391040497485267
133,271.95778405,147.50294274,0.0,-0.12504153713117097,0.4560867899159109,-0.464936801060023
134,272.29278328,149.71658817,0.0,-0.12562578729500315,0.5041883822129399,-0.44172410724356065
135,272.50343725,151.94694254,0.0,-0.13909171110430205,0.5458866079470165,-0.42404583455592243
136,272.54319223,154.18737206,0.0,-0.16388729944029318,0.6004397635017195,-0.39601690158977104
137,272.38697987,156.41957231,0.0,-0.1868151358528515,0.6430574242273472,-0.3671914200664576
138,272.09397817,158.63960336,0.0,-0.21146822035088744,0.6752223066319073,-0.3426017447542928
139,271.69271221,160.84393319,0.0,-0.2441459004196731,0.7007309014832397,-0.32457056456437244
140,271.16561158,163.02183811,0.0,-0.27680301210407404,0.7230208024895853,-0.30381316667513675
141,270.51772043,165.16548702,0.0,-0.31439969836429815,0.7417588611475462,-0.28362152441070404
142,269.76955832,167.2764413,0.0,-0.3475521298524429,0.7535683347466646,-0.2675692351125153
143,268.93091968,169.3542715,0.0,-0.38311959429143444,0.7613935766462406,-0.253856770224896
144,268.0056145,171.39508388,0.0,-0.4147523889883016,0.765726210994071,-0.24144909733130673
145,267.00108893,173.39728456,0.0,-0.4454156785132107,0.7673987552428674,-0.22986998682186632
146,265.91938131,175.3585547,0.0,-0.47805046344048546,0.7669584968790751,-0.2167125517478671
147,264.75942346,177.27568453,0.0,-0.5146529598825018,0.762625493016646,-0.20477505000721133
148,263.52861033,179.14817056,0.0,-0.5438943877607675,0.7562324387877079,-0.19769637116613295
149,262.23656983,180.97827128,0.0,-0.5713837489251703,0.7483986325178166,-0.19038837261444172
150,260.87988783,182.76052355,0.0,-0.600603764715134,0.7379388533935511,-0.18251398507643332
151,259.4539598,184.48903641,0.0,-0.6329259173952588,0.7233661335150426,-0.1757863475871193
152,257.97407883,186.17161099,0.0,-0.6548996608774651,0.7115127716548989,-0.17185697414107168
153,256.453038,187.81662132,0.0,-0.6738010835901926,0.699971648295862,-0.16857805610969398
