PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
99,227.02632253,163.05406802,0.0,-0.7027726541273923,-0.6618251370385623,0.1908349848734704
100,228.67153017,164.58133335,0.0,-0.7018726073106714,-0.6630776268894081,0.18828590917767637
101,230.32281681,166.10199144,0.0,-0.7047318839468736,-0.661565764877046,0.1857504792502759
102,231.98403848,167.611789,0.0,-0.7081678298719966,-0.6595920959622451,0.1828821939270937
103,233.66175047,169.10327519,0.0,-0.7140716388595663,-0.6557474764842768,0.17986670549537553
104,235.35380231,170.57843711,0.0,-0.715937822731127,-0.6550224676898271,0.17605554854117897
105,237.05526552,172.04273806,0.0,-0.711327182554445,-0.6595935863562518,0.17051850254433498
106,238.74026709,173.52398302,0.0,-0.6788291052239411,-0.6828941545587667,0.1608575356490924
107,240.30439199,175.13418855,0.0,-0.5197941789778247,-0.7412778829239389,0.12824036556991736
108,241.38204888,177.08731766,0.0,-0.3098701470456082,-0.7483654641140172,0.09685067708226129
109,242.04065043,179.2080281,0.0,-0.15596233531233814,-0.6912394219160487,0.0798170784034797
110,242.40367923,181.42330626,0.0,-0.09519123642602907,-0.6526846617876451,0.08969899291715794
111,242.76448772,183.63894743,0.0,-0.0921179977211597,-0.6501825775389517,0.09112670738163003
112,243.12080336,185.85531489,0.0,-0.09281161539384775,-0.6507707168096701,0.09313083411099936
113,243.47491954,188.07203504,0.0,-0.12479288703285324,-0.6728627187472712,0.0959737140815012
